Country or region code,Region,Above C
E92000001,All households,42.06
E12000001,North East,41.40
E12000002,North West,40.55
E12000003,Yorkshire and The Humber,37.71
E12000004,East Midlands,40.29
E12000005,West Midlands,37.53
E12000006,Eastern,42.77
E12000007,London,48.53
E12000008,South East,43.69
E12000009,South West,42.06
